,unnamed: 0,name,platform,year_of_release,genre,publisher,na_players,eu_players,jp_players,other_players,global_players,critic_score,critic_count,user_score,user_count,developer,rating
11624,11625,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013.0,Action,D3Publisher,0.03,0.04,0.0,0.01,0.08,,,,,,
11792,11793,Futurama,PS2,2003.0,Platform,SCi,0.04,0.03,0.0,0.01,0.07,59.0,22.0,6.6,14.0,UDS,T
11834,11835,Open Season,PSP,2006.0,Platform,Ubisoft,0.07,0.0,0.0,0.01,0.07,,,tbd,,Ubisoft,E10+
11927,11928,Monster Racers,DS,2009.0,Racing,Tecmo Koei,0.05,0.0,0.02,0.0,0.07,70.0,5.0,9,5.0,Koei,E
11945,11946,Monster Rancher Battle Card: Episode II,PS,2000.0,Action,Tecmo Koei,0.04,0.03,0.0,0.0,0.07,,,,,,
11956,11957,Jimmie Johnson's Anything With an Engine,Wii,2011.0,Racing,Konami Digital Entertainment,0.07,0.0,0.0,0.0,0.07,,,tbd,,Isopod Labs,E10+
11959,11960,Just Dance: Disney Party 2,XOne,2015.0,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07,,,tbd,,Ubisoft,E
12005,12006,Cut the Rope,3DS,2014.0,Puzzle,Activision,0.06,0.0,0.0,0.01,0.07,,,tbd,,ZeptoLab,E
12013,12014,IA/VT Colorful,PSV,2015.0,Misc,Marvelous Entertainment,0.0,0.0,0.07,0.0,0.07,,,,,,
12048,12049,Dave Mirra BMX Challenge,Wii,2007.0,Sports,505 Games,0.06,0.0,0.0,0.01,0.07,36.0,5.0,tbd,,Left Field Productions,E
12211,12212,Pipe Mania,PSP,2008.0,Puzzle,Empire Interactive,0.06,0.0,0.0,0.01,0.07,74.0,6.0,tbd,,Empire Interactive,E
12219,12220,Order Up!!,PS3,2011.0,Action,Funbox Media,0.05,0.01,0.0,0.01,0.07,,,,,,
12223,12224,Army Men: Green Rogue,PS,2001.0,Action,3DO,0.04,0.02,0.0,0.0,0.07,,,,,,
12237,12238,Gambler Densetsu Tetsuya,PS2,2001.0,Adventure,Athena,0.0,0.0,0.07,0.0,0.07,,,,,,
12243,12244,Yoake Yori Ruriiro na: Brighter than Dawning Blue,PS2,2006.0,Adventure,Aria,0.0,0.0,0.07,0.0,0.07,,,,,,
12526,12527,Pro Evolution Soccer 2012,PS2,2011.0,Action,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06,,,8.2,11.0,Konami,E
12570,12571,Coded Arms: Contagion,PSP,2007.0,Shooter,Konami Digital Entertainment,0.05,0.0,0.0,0.01,0.06,56.0,20.0,6.6,28.0,Creat Studios,T
12586,12587,Power Pro Success Legends,PSP,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06,,,,,,
12720,12721,Street Fighter V,PC,2016.0,Fighting,Capcom,0.0,0.05,0.0,0.0,0.06,74.0,33.0,2.9,431.0,Capcom,T
12736,12737,Constantine,XB,2005.0,Action,SCi,0.04,0.01,0.0,0.0,0.06,60.0,31.0,7.1,17.0,Bits Studios,M
12786,12787,Scrabble Blast!,GBA,2005.0,Misc,Zoo Digital Publishing,0.04,0.01,0.0,0.0,0.06,,,,,,
12882,12883,Olympic Soccer: Atlanta 1996,PS,1996.0,Sports,U.S. Gold,0.03,0.02,0.0,0.0,0.05,,,,,,
12898,12899,Sega Soccer Slam,XB,2002.0,Sports,Sega,0.04,0.01,0.0,0.0,0.05,80.0,15.0,8.5,10.0,Black Box,E
12961,12962,Zyuden Sentai Kyoryuger: Game de Gaburincho!!,3DS,2013.0,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,,,,,,
12972,12973,Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,2007.0,Action,Takara Tomy,0.0,0.0,0.05,0.0,0.05,,,,,,
13062,13063,Venetica,PC,2009.0,Role-Playing,DTP Entertainment,0.0,0.04,0.0,0.01,0.05,61.0,17.0,6.8,51.0,Deck 13,T
13144,13145,Steins;Gate 0,PS4,2015.0,Adventure,PQube,0.0,0.0,0.05,0.0,0.05,81.0,17.0,8.3,29.0,5pb,M
13197,13198,Durarara!! 3-way Standoff,PSP,2010.0,Adventure,ASCII Media Works,0.0,0.0,0.05,0.0,0.05,,,,,,
13291,13292,Silhouette Mirage,PS,1998.0,Platform,ESP,0.03,0.02,0.0,0.0,0.05,69.0,8.0,7.5,4.0,Treasure,E
13319,13320,MTX Mototrax,PSP,2006.0,Racing,Activision,0.04,0.0,0.0,0.0,0.05,67.0,8.0,tbd,,Left Field Productions,E
13566,13567,Runaway: A Twist of Fate,PC,2009.0,Adventure,Focus Home Interactive,0.0,0.04,0.0,0.01,0.04,79.0,15.0,8.2,40.0,Pendulo Studios,T
13611,13612,Naruto Shippuden: Dairansen! Kage Bunshin Emaki,DS,2008.0,Action,Takara Tomy,0.0,0.0,0.04,0.0,0.04,,,,,,
13649,13650,Igor: The Game,DS,2008.0,Adventure,Legacy Interactive,0.04,0.0,0.0,0.0,0.04,43.0,4.0,tbd,,Artefacts Studio,E
13674,13675,Split/Second,PC,2010.0,Racing,Disney Interactive Studios,0.0,0.04,0.0,0.01,0.04,79.0,18.0,8.2,116.0,Black Rock Studio,E10+
13713,13714,Dark Half,SNES,1996.0,Role-Playing,Enix Corporation,0.0,0.0,0.04,0.0,0.04,,,,,,
13783,13784,Monster High: New Ghoul in School,PS3,2015.0,Action,Little Orbit,0.0,0.03,0.0,0.01,0.04,,,tbd,,"Torus Games, Little Orbit",E
13794,13795,Ookami Kakushi,PSP,2009.0,Action,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,,,,,,
13876,13877,Grand Theft Auto: Vice City,PC,2003.0,Action,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04,94.0,30.0,8.8,1520.0,Rockstar North,M
13931,13932,TMNT,DS,2007.0,Action,Ubisoft,0.03,0.01,0.0,0.0,0.04,42.0,10.0,2.2,5.0,Ubisoft Quebec,E10+
14108,14109,Cook Wars,Wii,2009.0,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.04,,,tbd,,Virtual Toys,E
14129,14130,My Hero Academia: Battle for All,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
14144,14145,FabStyle,3DS,2011.0,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,,
14213,14214,Alpha Protocol,PC,2010.0,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.03,72.0,25.0,7.5,511.0,Obsidian Entertainment,M
14256,14257,Super Dodgeball Brawlers (jp sales),DS,2008.0,Sports,Arc System Works,0.0,0.0,0.03,0.0,0.03,,,,,,
14329,14330,Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,,
14354,14355,Elf Bowling 1 & 2,GBA,2005.0,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,,
14373,14374,Smart Girl's Winter Wonderland,DS,2008.0,Misc,UFO Interactive,0.03,0.0,0.0,0.0,0.03,,,tbd,,UFO Interactive,E
14453,14454,To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,DS,2008.0,Adventure,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,,,,,,
14550,14551,Bubble Bobble Evolution,PSP,2006.0,Puzzle,Rising Star Games,0.03,0.0,0.0,0.0,0.03,47.0,5.0,tbd,,Opus,E
14601,14602,Story Hour: Adventures,Wii,2008.0,Adventure,Zoo Digital Publishing,0.03,0.0,0.0,0.0,0.03,,,tbd,,Other Ocean Interactive,E
14689,14690,Race Driver 2006,PSP,2006.0,Racing,Codemasters,0.03,0.0,0.0,0.0,0.03,81.0,16.0,8.5,6.0,Sumo Digital,T
14750,14751,The Island of Dr. Frankenstein,Wii,2009.0,Adventure,Storm City Games,0.03,0.0,0.0,0.0,0.03,26.0,6.0,tbd,,Storm City Games,E
14753,14754,The IdolM@ster: Gravure For You! Vol. 6,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,,
14773,14774,CID The Dummy,PSP,2009.0,Platform,Oxygen Interactive,0.02,0.0,0.0,0.0,0.03,41.0,6.0,tbd,,Twelve Games,E10+
14935,14936,HotBrain,PSP,2007.0,Puzzle,Midway Games,0.02,0.0,0.0,0.0,0.03,,,,,,
14954,14955,Ducati Moto,DS,2008.0,Racing,Vir2L Studios,0.02,0.0,0.0,0.0,0.03,69.0,4.0,tbd,,4J Studios,E
15010,15011,DoDonPachi Dai-Oujou: Black Label Extra,X360,2009.0,Shooter,5pb,0.0,0.0,0.02,0.0,0.02,,,,,,
15026,15027,Pop'n Music 12 Iroha,PS2,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,,,,,,
15083,15084,Wii de Asobu: Metroid Prime,Wii,,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02,,,,,,
15085,15086,Wangan Midnight Portable,PSP,2007.0,Racing,Genki,0.0,0.0,0.02,0.0,0.02,,,,,,
15123,15124,Supermodel Makeover by Lauren Luke,DS,2009.0,Simulation,Avanquest,0.0,0.02,0.0,0.0,0.02,,,,,,
15271,15272,Yamasa Digi Portable: Matsuri no Tatsujin - Win-Chan no Natsumatsuri,PSP,2006.0,Misc,Yamasa Entertainment,0.0,0.0,0.02,0.0,0.02,,,,,,
15296,15297,Azada,3DS,2012.0,Puzzle,Licensed 4U,0.0,0.02,0.0,0.0,0.02,,,tbd,,Engine Software,E
15342,15343,Pebble Beach Golf Links,SAT,1994.0,Sports,Sega,0.0,0.0,0.02,0.0,0.02,,,,,,
15539,15540,X-Plane 10 Global,PC,2013.0,Simulation,Aerosoft,0.0,0.02,0.0,0.0,0.02,,,,,,
15561,15562,Mini Ninjas,PC,2009.0,Action,Eidos Interactive,0.0,0.02,0.0,0.0,0.02,74.0,14.0,8.3,78.0,Io Interactive,E10+
15679,15680,Elf Bowling 1 & 2,DS,2005.0,Sports,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02,,,,,,
15708,15709,Kong: The Animated Series,GBA,2002.0,Action,BAM! Entertainment,0.01,0.0,0.0,0.0,0.02,52.0,4.0,tbd,,Planet Interactive,E
15758,15759,Ozzy & Drix,GBA,2003.0,Platform,Midway Games,0.01,0.0,0.0,0.0,0.02,,,,,,
15799,15800,Raven Squad: Operation Hidden Dagger,PC,2009.0,Shooter,Evolved Games,0.02,0.0,0.0,0.0,0.02,39.0,11.0,3.1,61.0,Atomic Motion,T
15820,15821,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,2013.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15957,15958,Kiss Bell,PSV,2014.0,Adventure,Giga,0.0,0.0,0.02,0.0,0.02,,,,,,
15970,15971,PachiPara 3D,3DS,2011.0,Misc,Irem Software Engineering,0.0,0.0,0.02,0.0,0.02,,,,,,
16002,16003,Gummy Bears Magical Medallion,Wii,2011.0,Platform,Storm City Games,0.01,0.0,0.0,0.0,0.02,,,tbd,,Clockwork Games,E
16021,16022,Dragon Tales: Dragon Adventures,GBA,2003.0,Platform,NewKidCo,0.01,0.0,0.0,0.0,0.02,,,,,,
16063,16064,I Love Horses: Rider's Paradise,Wii,2010.0,Simulation,Destineer,0.01,0.0,0.0,0.0,0.02,,,tbd,,Destineer,E
16083,16084,Dragon Zakura DS,DS,2007.0,Misc,Electronic Arts,0.0,0.0,0.01,0.0,0.01,,,,,,
16084,16085,Chameleon: To Dye For!,DS,2006.0,Puzzle,505 Games,0.01,0.0,0.0,0.0,0.01,,,,,,
16161,16162,Call of Juarez,PC,2006.0,Shooter,Ubisoft,0.0,0.01,0.0,0.0,0.01,72.0,25.0,7.8,223.0,Techland,M
16184,16185,Rocksmith 2014 Edition Remastered,XOne,2016.0,Misc,Ubisoft,0.01,0.0,0.0,0.0,0.01,,,tbd,,Ubisoft,T
16282,16283,Brain Exercise With Dr. Kawashima,PC,2009.0,Puzzle,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,,,,,,
16293,16294,Rave Master: Special Attack Force!,GBA,2002.0,Fighting,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01,56.0,9.0,tbd,,KCEJ,T
16298,16299,Football Manager 2005,PC,2004.0,Sports,Sega,0.0,0.01,0.0,0.0,0.01,,,,,,
16334,16335,Densetsu no Yuusha no Densetsu: Legendary Saga,PSP,2010.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.01,0.0,0.01,,,,,,
16353,16354,Ultraman Fighting Evolution 0,PSP,2006.0,Fighting,Banpresto,0.0,0.0,0.01,0.0,0.01,,,,,,
16378,16379,Starry ? Sky: After Autumn,PSP,2011.0,Misc,Aqua Plus,0.0,0.0,0.01,0.0,0.01,,,,,,
16411,16412,Happy Dance Collection,Wii,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,
16454,16455,Turbo: Super Stunt Squad,X360,2013.0,Sports,D3Publisher,0.0,0.01,0.0,0.0,0.01,,,4.5,10.0,Monkey Bar Games,E
16464,16465,Young Justice: Legacy,X360,2013.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,,,6.2,10.0,Freedom Factory Studios,T
16528,16529,Golden Time: Vivid Memories,PSV,2014.0,Adventure,ASCII Media Works,0.0,0.0,0.01,0.0,0.01,,,,,,
